file	line	anchor	info	status	wrap	v26	v27	vsim27	v27on26	vsim27on26	err_line	first_error
part-01-orientation-and-gating/references/01-apple-ai-stack-2026-map.md	113	1-the-one-thing-that-changed	compile:27	VERIFIED	body	-	pass	-	-	-	-	-
part-01-orientation-and-gating/references/01-apple-ai-stack-2026-map.md	420	31-systemlanguagemodel--260-the-default	illustrative	ILLUSTRATIVE	-	-	-	-	-	-	-	-
part-01-orientation-and-gating/references/01-apple-ai-stack-2026-map.md	484	32-privatecloudcomputelanguagemodel--270-the-one-with-a-policy-gate	compile:27 imports:FoundationModels	VERIFIED	body	-	pass	-	-	-	-	-
part-01-orientation-and-gating/references/01-apple-ai-stack-2026-map.md	855	35-chatcompletionslanguagemodel--the-one-that-works-today	prelude:external-module	PRELUDE-NEEDED	-	-	-	-	-	-	-	-
part-01-orientation-and-gating/references/01-apple-ai-stack-2026-map.md	920	36-the-protocol-itself-and-why-it-is-two-types	illustrative	ILLUSTRATIVE	-	-	-	-	-	-	-	-
part-01-orientation-and-gating/references/02-platform-and-version-gating.md	110	264--the-mid-cycle-model-refresh	illustrative	ILLUSTRATIVE	-	-	-	-	-	-	-	-
part-01-orientation-and-gating/references/02-platform-and-version-gating.md	286	31-canimportfoundationmodels-_version-2--the-sdk-test	illustrative	ILLUSTRATIVE	-	-	-	-	-	-	-	-
part-01-orientation-and-gating/references/02-platform-and-version-gating.md	323	32-the-alternative-pattern-your-own-define	illustrative	ILLUSTRATIVE	-	-	-	-	-	-	-	-
part-01-orientation-and-gating/references/02-platform-and-version-gating.md	399	34-️-the-xcode-26--27-rebuild-changes-which-catch-fires	compile:27	VERIFIED	body	-	pass	-	-	-	-	-
part-01-orientation-and-gating/references/02-platform-and-version-gating.md	427	34-️-the-xcode-26--27-rebuild-changes-which-catch-fires	illustrative	ILLUSTRATIVE	-	-	-	-	-	-	-	-
part-01-orientation-and-gating/references/02-platform-and-version-gating.md	733	71-systemlanguagemodelavailability	illustrative	ILLUSTRATIVE	-	-	-	-	-	-	-	-
part-01-orientation-and-gating/references/02-platform-and-version-gating.md	746	71-systemlanguagemodelavailability	compile:27	VERIFIED	top	-	pass	-	-	-	-	-
part-01-orientation-and-gating/references/02-platform-and-version-gating.md	781	71-systemlanguagemodelavailability	compile:27 imports:FoundationModels	VERIFIED	body	-	pass	-	-	-	-	-
part-01-orientation-and-gating/references/02-platform-and-version-gating.md	823	proactive-gating-or-reactive-catching--apples-own-code-switched-sides	prelude:guide-context	PRELUDE-NEEDED	-	-	-	-	-	-	-	-
part-01-orientation-and-gating/references/02-platform-and-version-gating.md	864	72-pcc-has-a-different-reason-set	compile:27 imports:FoundationModels	VERIFIED	body	-	pass	-	-	-	-	-
part-01-orientation-and-gating/references/02-platform-and-version-gating.md	905	73-quota-is-orthogonal-to-availability	compile:27	VERIFIED	top	-	pass	-	-	-	-	-
part-01-orientation-and-gating/references/02-platform-and-version-gating.md	988	75-language-and-locale-gating-follows-siris-language	illustrative	ILLUSTRATIVE	-	-	-	-	-	-	-	-
part-01-orientation-and-gating/references/02-platform-and-version-gating.md	1134	83-the-pcc-entitlement-itself	compile:27 imports:FoundationModels	VERIFIED	body	-	pass	-	-	-	-	-
part-01-orientation-and-gating/references/02-platform-and-version-gating.md	1155	83-the-pcc-entitlement-itself	prelude:guide-context	PRELUDE-NEEDED	-	-	-	-	-	-	-	-
part-01-orientation-and-gating/references/02-platform-and-version-gating.md	1308	11-a-runnable-preflight-check	compile:26,27 defines:PCC_ENABLED	VERIFIED	top	pass	pass	-	-	-	-	-
part-02-foundation-models-everyday-api/references/01-sessions-and-prompting.md	106	1-one-session-many-backends	illustrative	ILLUSTRATIVE	-	-	-	-	-	-	-	-
part-02-foundation-models-everyday-api/references/01-sessions-and-prompting.md	150	1-one-session-many-backends	prelude:guide-context	PRELUDE-NEEDED	-	-	-	-	-	-	-	-
part-02-foundation-models-everyday-api/references/01-sessions-and-prompting.md	189	21-the-initializer-declarations-we-have-verbatim	illustrative	ILLUSTRATIVE	-	-	-	-	-	-	-	-
part-02-foundation-models-everyday-api/references/01-sessions-and-prompting.md	230	21-the-initializer-declarations-we-have-verbatim	illustrative	ILLUSTRATIVE	-	-	-	-	-	-	-	-
part-02-foundation-models-everyday-api/references/01-sessions-and-prompting.md	282	22-the-call-forms-you-will-actually-type	prelude:guide-context	PRELUDE-NEEDED	-	-	-	-	-	-	-	-
part-02-foundation-models-everyday-api/references/01-sessions-and-prompting.md	332	22-the-call-forms-you-will-actually-type	compile:27 imports:FoundationModels	VERIFIED	top	-	pass	-	-	-	-	-
part-02-foundation-models-everyday-api/references/01-sessions-and-prompting.md	370	23-rehydrating-from-a-saved-transcript	compile:27 imports:FoundationModels	VERIFIED	top	-	pass	-	-	-	-	-
part-02-foundation-models-everyday-api/references/01-sessions-and-prompting.md	413	24-initprofilehistory--the-one-line-version	prelude:guide-context	PRELUDE-NEEDED	-	-	-	-	-	-	-	-
part-02-foundation-models-everyday-api/references/01-sessions-and-prompting.md	456	25-seeding-a-session-with-hand-authored-history	prelude:guide-context	PRELUDE-NEEDED	-	-	-	-	-	-	-	-
part-02-foundation-models-everyday-api/references/01-sessions-and-prompting.md	557	33-the-concrete-failure	illustrative	ILLUSTRATIVE	-	-	-	-	-	-	-	-
part-02-foundation-models-everyday-api/references/01-sessions-and-prompting.md	572	33-the-concrete-failure	prelude:guide-context	PRELUDE-NEEDED	-	-	-	-	-	-	-	-
part-02-foundation-models-everyday-api/references/01-sessions-and-prompting.md	658	42-promptbuilder-conditionals-in-a-prompt	prelude:guide-context	PRELUDE-NEEDED	-	-	-	-	-	-	-	-
part-02-foundation-models-everyday-api/references/01-sessions-and-prompting.md	680	42-promptbuilder-conditionals-in-a-prompt	illustrative	ILLUSTRATIVE	-	-	-	-	-	-	-	-
part-02-foundation-models-everyday-api/references/01-sessions-and-prompting.md	727	43-one-shot-prompting-with-a-generable-instance	prelude:guide-context	PRELUDE-NEEDED	-	-	-	-	-	-	-	-
part-02-foundation-models-everyday-api/references/01-sessions-and-prompting.md	749	43-one-shot-prompting-with-a-generable-instance	prelude:guide-context	PRELUDE-NEEDED	-	-	-	-	-	-	-	-
part-02-foundation-models-everyday-api/references/01-sessions-and-prompting.md	774	44-instructionsbuilder	prelude:guide-context	PRELUDE-NEEDED	-	-	-	-	-	-	-	-
part-02-foundation-models-everyday-api/references/01-sessions-and-prompting.md	841	51-the-shape-of-the-family	illustrative	ILLUSTRATIVE	-	-	-	-	-	-	-	-
part-02-foundation-models-everyday-api/references/01-sessions-and-prompting.md	913	52-plain-text	compile:27	VERIFIED	body	-	pass	-	-	-	-	-
part-02-foundation-models-everyday-api/references/01-sessions-and-prompting.md	931	53-guided-generation	prelude:guide-context	PRELUDE-NEEDED	-	-	-	-	-	-	-	-
part-02-foundation-models-everyday-api/references/01-sessions-and-prompting.md	966	54-what-comes-back	illustrative	ILLUSTRATIVE	-	-	-	-	-	-	-	-
part-02-foundation-models-everyday-api/references/01-sessions-and-prompting.md	980	61-the-declaration-and-the-three-surprises	illustrative	ILLUSTRATIVE	-	-	-	-	-	-	-	-
part-02-foundation-models-everyday-api/references/01-sessions-and-prompting.md	1018	62-the-stream-types	illustrative	ILLUSTRATIVE	-	-	-	-	-	-	-	-
part-02-foundation-models-everyday-api/references/01-sessions-and-prompting.md	1034	63-the-canonical-loop	prelude:guide-context	PRELUDE-NEEDED	-	-	-	-	-	-	-	-
part-02-foundation-models-everyday-api/references/01-sessions-and-prompting.md	1071	63-the-canonical-loop	prelude:guide-context	PRELUDE-NEEDED	-	-	-	-	-	-	-	-
part-02-foundation-models-everyday-api/references/01-sessions-and-prompting.md	1093	64-a-stream-can-finish-having-yielded-zero-partials	prelude:guide-context	PRELUDE-NEEDED	-	-	-	-	-	-	-	-
part-02-foundation-models-everyday-api/references/01-sessions-and-prompting.md	1115	64-a-stream-can-finish-having-yielded-zero-partials	prelude:guide-context	PRELUDE-NEEDED	-	-	-	-	-	-	-	-
part-02-foundation-models-everyday-api/references/01-sessions-and-prompting.md	1138	7-prewarmpromptprefix	illustrative	ILLUSTRATIVE	-	-	-	-	-	-	-	-
part-02-foundation-models-everyday-api/references/01-sessions-and-prompting.md	1180	72-when-to-call-it	prelude:guide-context	PRELUDE-NEEDED	-	-	-	-	-	-	-	-
part-02-foundation-models-everyday-api/references/01-sessions-and-prompting.md	1215	74-prewarm-on-a-rehydrated-session	illustrative	ILLUSTRATIVE	-	-	-	-	-	-	-	-
